('92679', 1)
('46761', 113)
('01590', 1)
('87508', 3)
('08103', 1)
('95482', 22)
('07058', 1)
('92337', 1)
('33605', 3)
('27893', 4)
('20814', 1)
('08069', 2)
('28792', 3)
('15666', 2)
('04101', 4)
('08831', 3)
('49677', 1)
('55317', 1)
('55427', 1)
('04074', 6)
('07073', 2)
('01952', 2)
('95361', 6)
('01832', 1)
('85648', 11)
('01773', 2)
('32962', 1)
('14802', 1)
('12516', 2)
('98520', 1)
('60440', 2)
('07011', 1)
('55987', 6)
('06611', 1)
('01746', 1)
('49331', 1)
('02150', 6)
('46158', 1)
('61744', 2)
('14150', 1)
('95536', 37)
('48167', 1)
('73007', 2)
('02149', 3)
('18509', 1)
('78540', 1)
('98226', 2)
('94577', 8)
('89820', 3)
('95322', 7)
('94574', 35)
('95938', 3)
('76155', 2)
('30336', 1)
('93215', 6)
('14744', 4)
('17535', 7)
('21620', 6)
('94558', 27)
('92026', 11)
('36079', 1)
('94104', 2)
('04856', 5)
('95453', 28)
('27252', 7)
('50322', 2)
('19348', 4)
('95945', 6)
('53518', 7)
('02857', 2)
('72757', 1)
('45202', 1)
('80239', 2)
('43055', 1)
('84041', 3)
('56302', 1)
('37725', 1)
('17082', 11)
('93021', 2)
('11206', 2)
('31408', 1)
('04011', 6)
('17046', 4)
('02301', 2)
('97015', 3)
('78577', 2)
('95240', 12)
('73010', 2)
('95380', 16)
('95315', 2)
('95324', 3)
('13322', 2)
('13140', 2)
('60510', 3)
('14060', 2)
('93618', 10)
('28613', 1)
('02360', 2)
('10990', 2)
('94952', 54)
('56315', 3)
('92082', 36)
('21629', 1)
('43061', 2)
('14735', 11)
('18106', 3)
('83424', 1)
('93023', 9)
('27574', 8)
('04937', 4)
('04578', 3)
('17604', 2)
('29839', 1)
('93654', 12)
('12992', 2)
('91352', 5)
('93313', 2)
('46543', 25)
('54449', 4)
('54724', 4)
('97071', 3)
('02748', 1)
('50010', 5)
('13697', 4)
('17509', 22)
('13339', 39)
('20772', 2)
('08540', 3)
('17566', 32)
('05819', 2)
('43442', 1)
('61068', 1)
('14055', 2)
('93905', 21)
('13357', 2)
('93723', 11)
('95695', 13)
('95827', 1)
('93901', 19)
('03042', 1)
('16820', 4)
('92223', 1)
('15312', 4)
('92225', 1)
('14724', 2)
('95669', 4)
('80136', 1)
('75115', 1)
('54660', 17)
('17751', 11)
('77055', 1)
('81146', 3)
('95020', 11)
('95012', 12)
('54655', 14)
('95112', 4)
('19154', 1)
('13485', 5)
('56319', 1)
('95476', 24)
('95448', 21)
('08204', 1)
('93960', 10)
('14433', 7)
('04730', 13)
('13810', 4)
('85625', 1)
('95472', 52)
('23927', 1)
('84047', 1)
('08901', 2)
('08512', 4)
('08816', 3)
('11957', 1)
('72126', 2)
('03885', 1)
('01770', 3)
('04849', 7)
('04416', 1)
('53586', 2)
('07008', 1)
('15642', 1)
('04260', 1)
('92101', 1)
('80550', 1)
('91752', 2)
('91733', 1)
('90063', 2)
('49120', 1)
('92014', 2)
('95616', 8)
('13361', 10)
('84309', 1)
('77836', 1)
('50273', 2)
('01375', 5)
('17841', 3)
('55321', 4)
('74403', 1)
('07080', 6)
('85248', 1)
('95901', 4)
('71101', 1)
('80303', 3)
('97520', 6)
('99516', 1)
('08723', 1)
('91803', 1)
('90630', 4)
('17244', 4)
('50073', 1)
('56062', 3)
('04572', 5)
('15558', 4)
('16875', 9)
('94954', 16)
('17404', 2)
('94608', 4)
('81136', 1)
('59468', 3)
('21757', 1)
('17094', 8)
('16255', 4)
('14065', 2)
('95615', 2)
('73662', 1)
('13862', 3)
('01035', 9)
('92236', 1)
('64149', 3)
('60642', 2)
('81505', 1)
('68467', 1)
('64653', 1)
('04864', 3)
('60526', 1)
('11729', 1)
('93622', 8)
('90272', 1)
('04472', 2)
('84003', 2)
('69337', 1)
('53520', 5)
('61016', 1)
('68901', 2)
('32824', 1)
('84105', 1)
('17823', 3)
('15946', 1)
('13303', 2)
('13491', 2)
('13662', 3)
('94901', 6)
('73072', 2)
('95241', 1)
('92081', 6)
('60123', 1)
('17264', 1)
('92121', 6)
('16926', 2)
('13459', 5)
('27209', 1)
('53523', 1)
('93625', 6)
('88101', 3)
('60803', 1)
('56285', 2)
('95926', 2)
('14418', 12)
('89429', 2)
('21742', 4)
('17225', 5)
('43545', 2)
('04354', 2)
('13083', 1)
('16933', 8)
('80525', 3)
('14846', 2)
('13033', 3)
('84335', 1)
('13865', 1)
('93927', 6)
('17316', 4)
('95415', 1)
('22079', 1)
('65263', 3)
('93630', 20)
('04330', 5)
('04945', 42)
('48838', 2)
('28394', 1)
('21795', 2)
('28273', 1)
('49625', 1)
('96080', 4)
('04220', 1)
('27344', 12)
('17022', 9)
('04758', 1)
('12809', 7)
('04476', 5)
('97402', 7)
('03884', 1)
('11717', 1)
('44103', 2)
('95991', 9)
('47401', 2)
('30213', 1)
('94503', 2)
('91748', 2)
('32209', 1)
('15801', 1)
('75236', 2)
('22841', 3)
('69361', 1)
('93305', 1)
('60007', 7)
('84561', 1)
('13682', 2)
('72738', 1)
('93015', 6)
('85233', 1)
('33444', 1)
('93456', 6)
('80026', 3)
('21678', 1)
('17267', 1)
('14726', 1)
('13411', 8)
('93401', 5)
('53590', 4)
('56540', 3)
('93636', 3)
('49455', 2)
('92154', 8)
('46540', 38)
('67871', 8)
('17545', 13)
('95046', 4)
('04294', 2)
('95060', 20)
('91342', 1)
('12053', 1)
('31622', 2)
('93620', 4)
('44681', 23)
('49228', 1)
('17820', 1)
('51537', 3)
('13739', 3)
('50466', 11)
('13654', 3)
('04222', 3)
('12043', 11)
('16901', 1)
('14623', 2)
('95330', 2)
('19507', 5)
('17502', 3)
('64097', 1)
('16930', 3)
('16407', 1)
('92129', 1)
('95949', 3)
('54001', 3)
('13111', 4)
('17562', 11)
('13642', 19)
('95062', 4)
('58281', 1)
('93446', 28)
('45050', 1)
('08360', 5)
('13617', 7)
('84535', 14)
('65025', 2)
('77661', 2)
('52572', 3)
('93221', 3)
('04785', 2)
('17557', 11)
('81212', 1)
('97031', 5)
('14052', 3)
('93906', 10)
('50641', 37)
('80241', 1)
('17601', 8)
('04941', 9)
('69143', 1)
('17536', 19)
('17578', 4)
('17060', 1)
('46743', 2)
('04634', 6)
('93440', 2)
('97351', 1)
('92399', 2)
('16156', 1)
('93436', 6)
('14747', 4)
('91604', 2)
('97603', 13)
('48418', 2)
('50472', 2)
('17572', 16)
('14450', 1)
('18045', 1)
('56265', 3)
('94502', 3)
('11747', 1)
('04847', 3)
('92660', 2)
('17073', 10)
('94587', 6)
('89423', 1)
('95834', 1)
('80723', 2)
('13501', 1)
('93430', 4)
('27021', 1)
('21053', 3)
('17845', 4)
('04921', 4)
('46241', 1)
('18629', 1)
('93647', 1)
('97232', 2)
('07712', 3)
('60169', 1)
('13250', 1)
('95446', 1)
('73717', 1)
('18436', 1)
('44256', 3)
('12930', 2)
('84042', 4)
('23805', 1)
('27527', 1)
('20601', 1)
('85365', 19)
('96015', 2)
('94597', 1)
('13796', 2)
('95959', 11)
('56449', 2)
('49683', 1)
('20132', 3)
('31510', 4)
('12834', 2)
('16001', 1)
('05055', 1)
('29440', 3)
('81413', 2)
('27292', 2)
('13788', 2)
('55921', 4)
('06877', 1)
('73461', 1)
('90249', 2)
('80751', 3)
('27320', 5)
('07074', 1)
('23434', 1)
('19465', 1)
('26755', 1)
('93230', 6)
('43512', 2)
('93250', 5)
('52247', 97)
('89020', 3)
('66061', 4)
('44859', 3)
('45846', 4)
('06371', 1)
('90638', 2)
('91706', 2)
('10022', 1)
('04988', 10)
('08867', 3)
('06070', 3)
('95503', 9)
('20250', 1)
('48906', 2)
('89508', 1)
('18708', 1)
('89048', 1)
('92243', 5)
('54022', 7)
('50644', 5)
('17747', 15)
('07821', 1)
('74056', 1)
('93101', 3)
('95449', 10)
('16935', 3)
('24502', 1)
('13839', 1)
('21784', 1)
('04965', 4)
('92061', 9)
('21075', 2)
('49013', 2)
('04438', 2)
('01452', 2)
('80504', 3)
('55306', 1)
('30340', 4)
('12827', 3)
('43332', 3)
('28203', 1)
('13844', 2)
('18853', 4)
('01923', 2)
('12561', 1)
('85621', 10)
('44618', 18)
('97032', 2)
('92260', 3)
('12966', 6)
('24540', 3)
('17821', 5)
('08817', 4)
('13452', 3)
('95658', 4)
('94080', 6)
('95403', 5)
('94401', 2)
('44137', 1)
('80011', 5)
('17228', 2)
('79329', 1)
('95422', 1)
('29550', 1)
('04736', 7)
('55979', 14)
('92336', 1)
('56545', 1)
('08558', 3)
('93609', 4)
